"id","sex","age","rs","fid","agef","daddiff","rsf","mid","agem","mumdiff","rsm"
"rsfij","m",25.6712322235107,0,"r0ujd",61.5534248352051,35.8821907043457,8,"goy7c",57.6931495666504,32.0219192504883,5
"l42dw","f",19.3397254943848,0,NA,NA,NA,NA,"w59di",43.6849327087402,24.3452053070068,6
"rxvgr","m",20.7534255981445,0,"qi1ip",48.687671661377,27.9342460632324,5,"msrcp",44.6849327087402,23.9315071105957,5
"uh71f","f",17.7561645507812,0,"vnsnz",67.7013702392578,49.9452056884766,8,"zmak2",67.7013702392578,49.9452056884766,8
"xjt2k","f",17.2630138397217,0.819999992847443,"mak28",41.6821899414062,24.4191780090332,6,"r5eqa",34.6794509887695,17.4164390563965,5
"iff4v","m",34.7698631286621,1.63999998569489,"af96q",88.7013702392578,53.9315071105957,5,"e9jof",70.04931640625,35.2794532775879,4
"a54cw","f",56.7863006591797,4,NA,NA,NA,NA,NA,NA,NA,NA
"m1z5m","m",16.7561645507812,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t9iwv","m",27.6739730834961,1.63999998569489,"r0ujd",61.5534248352051,33.879451751709,8,"jcxlj",59.6958885192871,32.0219192504883,4
"qmtpe","m",25.2438354492188,1.63999998569489,"sdpgv",57.6931495666504,32.4493141174316,11,"ucik7",53.0438346862793,27.7999992370605,5
"vqyp3","m",52.783561706543,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dweng","f",26.5369853973389,1.82000005245209,"d07y8",38.024658203125,11.4876708984375,9,"gts60",58.689998626709,32.1530151367188,6
"dylo5","f",35.265754699707,4.82000017166138,"wovdr",53.0054779052734,17.739725112915,11,"jg4s2",52.689998626709,17.4242458343506,9
"saam0","f",30.2191772460938,3.8199999332428,NA,NA,NA,NA,"tsvqd",52.6904106140137,22.4712333679199,3
"jpkhd","m",32.6767120361328,1.63999998569489,NA,NA,NA,NA,NA,NA,NA,NA
"qbpuw","f",16.6657543182373,0,NA,NA,NA,NA,"afq0a",41.7780838012695,25.1123294830322,3
"i3xa0","f",22.6712322235107,0,"np17s",53.6904106140137,31.0191783905029,8,"bshlz",47.687671661377,25.0164375305176,3
"qk8ur","m",68.0356140136719,6.82000017166138,NA,NA,NA,NA,"g2pfn",83.709587097168,15.6739721298218,3
"qlwpz","m",31.6767120361328,2.46000003814697,"sdpgv",57.6931495666504,26.0164375305176,11,"ucik7",53.0438346862793,21.3671226501465,5
"h1frn","f",48.687671661377,4.82000017166138,NA,NA,NA,NA,NA,NA,NA,NA
"cejuf","m",20.7616443634033,0,"hk7vg",32.0219192504883,11.2602739334106,5,NA,NA,NA,NA
"c37zu","f",45.6849327087402,6,NA,NA,NA,NA,NA,NA,NA,NA
"o73c8","f",21.7452049255371,2.46000003814697,NA,NA,NA,NA,NA,NA,NA,NA
"z79re","m",22.5424652099609,1.63999998569489,"sdpgv",57.6931495666504,35.1506843566895,11,"psbka",53.4137001037598,30.8712329864502,6
"n2wjy","f",17.0849323272705,0,"xb4af",51,33.9150695800781,9,"w98hh",59.6958885192871,42.6109580993652,8
"hlit8","f",24.2849311828613,0.819999992847443,"fwh4n",38.0273971557617,13.7424659729004,5,"pdw5h",48.687671661377,24.4027404785156,3
"w9k50","f",40.6821899414062,6.82000017166138,NA,NA,NA,NA,NA,NA,NA,NA
"tsvqd","f",52.6904106140137,3,NA,NA,NA,NA,NA,NA,NA,NA
"vdad3","f",20.6904106140137,1.63999998569489,"wovdr",53.0054779052734,32.3150672912598,11,"gxc7z",54.6931495666504,34.0027389526367,6
"hd8e6","f",35.6547927856445,5.82000017166138,"k8osu",34.0219192504883,-1.63287675380707,6,"c5n0z",54.6931495666504,19.0383567810059,7
"ra85r","f",33.6767120361328,4.82000017166138,NA,NA,NA,NA,"tsvqd",52.6904106140137,19.0136985778809,3
"j0d21","m",36.6794509887695,1.82000005245209,NA,NA,NA,NA,NA,NA,NA,NA
"by2j8","f",29.76438331604,5,"frfis",69.6109619140625,39.8465766906738,8,"veo3p",58.5862998962402,28.8219184875488,4
"mfwwv","f",21.1643829345703,0.819999992847443,"m7ovk",66.4383544921875,45.2739715576172,8,"kwqym",62.5945205688477,41.4301376342773,8
"qpkuk","f",26.6739730834961,1.63999998569489,NA,NA,NA,NA,"gxc7z",54.6931495666504,28.0191783905029,6
"pbypt","f",18.668493270874,0.819999992847443,NA,NA,NA,NA,NA,NA,NA,NA
