"id","male","age","rs","idf","agef","rsf","code","idm","agem","rsm"
"s4phu",0,17,0,"l5nm8",41,2,"fd",NA,NA,NA
"evxan",1,38,2,NA,NA,NA,"ms","cxrym",66,5
"fhln8",0,35,2,NA,NA,NA,"md","su6r7",58,4
"jupdt",0,51,2,NA,NA,NA,"md","l0zjx",70,5
"tql8g",0,25,0,"w1s8d",54,3,"fd",NA,NA,NA
"p5wb3",1,47,2,NA,NA,NA,"ms","n1mks",72,7
"qqsh7",1,34,2,NA,NA,NA,"ms","vxw91",51,3
"czl0g",1,27,1,NA,NA,NA,"ms","g20me",48,3
"wthdn",1,35,0,"v8caa",78,5,"fs",NA,NA,NA
"mix4s",0,43,2,NA,NA,NA,"md","hnq3h",67,4
"vg602",0,32,1,NA,NA,NA,"md","lwrz8",58,3
"p1ojs",0,30,1,NA,NA,NA,"md","ykeq7",66,8
"h9mgw",1,20,0,"v5hbn",45,2,"fs",NA,NA,NA
"ybuj5",1,47,3,NA,NA,NA,"ms","yre07",80,2
"pod2b",0,17,0,"xsu4c",41,2,"fd",NA,NA,NA
"mqr4o",1,34,0,NA,NA,NA,"ms","v4r1l",73,4
"a2th1",1,33,1,"gu34s",75,7,"fs",NA,NA,NA
"pt3re",0,31,1,NA,NA,NA,"md","xet7k",69,6
"osuxv",1,20,0,NA,NA,NA,"ms","mwt7c",46,3
"xpn2c",0,45,2,NA,NA,NA,"md","cuiz0",79,6
"t8wng",0,26,0,NA,NA,NA,"md","ixsl2",52,2
"p6dgu",0,41,2,NA,NA,NA,"md","xet7k",69,6
"r9c1g",0,22,0,"idm84",46,2,"fd",NA,NA,NA
"szton",0,58,3,NA,NA,NA,"md","cuiz0",79,6
"hx967",1,25,0,NA,NA,NA,"ms","mwt7c",46,3
"su6r7",0,58,4,NA,NA,NA,"md","ogong",83,5
"khdqm",0,25,0,"i10ko",61,2,"fd",NA,NA,NA
"egrw7",0,19,0,"dolhe",46,3,"fd",NA,NA,NA
"logrc",0,32,2,NA,NA,NA,"md","m6ll9",56,3
"veutt",1,25,0,NA,NA,NA,"ms","bejs5",57,5
"vy8t7",1,31,2,"gu34s",75,7,"fs",NA,NA,NA
"cn3ot",1,33,0,NA,NA,NA,"ms","kh565",61,4
"uxrbt",1,43,3,NA,NA,NA,"ms","axqc6",80,1
"ygfx2",1,32,2,NA,NA,NA,"ms","iw9hx",63,5
"ays6x",1,36,0,NA,NA,NA,"ms","aq9nj",59,3
"yql66",1,39,2,NA,NA,NA,"ms","n1mks",72,7
"q2ptw",1,44,2,NA,NA,NA,"ms","z52e2",65,8
"qhd55",1,38,0,NA,NA,NA,"ms","r2nph",62,4
"u800p",0,21,0,"pv4n9",55,3,"fd",NA,NA,NA
"wxpju",0,32,1,NA,NA,NA,"md","r40p7",63,7
"imil8",0,29,1,NA,NA,NA,"md","s7ymr",56,3
"hu5u6",1,27,0,NA,NA,NA,"ms","awkzf",55,3
"fim4n",0,31,1,NA,NA,NA,"md","q6n3v",61,7
"xm4i0",1,23,0,"f7rsf",53,2,"fs",NA,NA,NA
"pc0mg",1,41,2,NA,NA,NA,"ms","afn6o",61,3
"kfh36",1,34,0,NA,NA,NA,"ms","hb11f",59,2
"wervh",0,38,2,NA,NA,NA,"md","rot7v",80,8
"h6zib",1,32,0,"ge189",62,4,"fs",NA,NA,NA
"kdgzd",0,35,2,"id9r2",73,4,"fd",NA,NA,NA
"wxpju",0,32,1,"xwh4v",71,7,"fd",NA,NA,NA
"stq41",0,19,0,NA,NA,NA,"md","msbpt",39,2
