"id","male","age","rs","idf","agef","rsf","code","idm","agem","rsm"
"ivct5",0,17,0,NA,NA,NA,"md","c8y3s",41,3
"p59tg",1,39,1,NA,NA,NA,"ms","t6y0i",75,2
"mffvc",0,25,0,NA,NA,NA,"md","o156z",46,3
"g0q7a",1,39,2,NA,NA,NA,"ms","dbzhs",68,6
"u4e9t",0,41,2,NA,NA,NA,"md","qdwnu",66,5
"z494k",0,21,0,"b2aqk",42,3,"fd",NA,NA,NA
"a6it5",1,35,2,NA,NA,NA,"ms","pha1c",66,4
"ityv2",0,33,2,NA,NA,NA,"md","rot7v",80,8
"rhxux",1,31,0,NA,NA,NA,"ms","kh565",61,4
"ty66s",0,34,2,NA,NA,NA,"md","lwrz8",58,3
"o1vsx",1,36,1,"nqcfb",66,3,"fs",NA,NA,NA
"bz4h6",1,27,0,"a4cla",50,2,"fs",NA,NA,NA
"tum7o",0,17,0,NA,NA,NA,"md","wervh",38,2
"hv5vy",0,20,0,NA,NA,NA,"md","xbssv",51,4
"fwjgg",0,46,3,NA,NA,NA,"md","ywuew",74,8
"xp6yl",1,23,0,NA,NA,NA,"ms","ja0us",46,2
"gwdio",1,49,3,NA,NA,NA,"ms","ywuew",74,8
"q5au2",0,22,0,NA,NA,NA,"md","g2umi",42,2
"as1c0",0,18,0,"x87q3",55,2,"fd",NA,NA,NA
"y6dzm",1,18,0,"dl9ey",55,2,"fs",NA,NA,NA
"tp78n",0,34,2,"azmm3",63,4,"fd",NA,NA,NA
"w4gbs",0,29,1,NA,NA,NA,"md","fwf87",61,4
"snvvj",1,30,0,"svooh",71,5,"fs",NA,NA,NA
"sazt3",1,41,2,NA,NA,NA,"ms","rot7v",80,8
"fyqjg",0,32,2,NA,NA,NA,"md","w2mff",75,6
"puigu",0,23,1,"o67vw",52,3,"fd",NA,NA,NA
"sxlcs",0,40,0,NA,NA,NA,"md","ykeq7",66,8
"ibj5b",0,27,0,NA,NA,NA,"md","ubbbo",50,3
"pr3wy",1,25,0,NA,NA,NA,"ms","u5msj",45,3
"lcdfl",0,25,1,NA,NA,NA,"md","l7pq2",51,2
"lpwdl",1,22,0,"poeld",49,3,"fs",NA,NA,NA
"gfhsl",1,22,0,NA,NA,NA,"ms","u5msj",45,3
"b3hxb",1,35,0,NA,NA,NA,"ms","prf7w",66,6
"h594n",1,29,0,"yco10",66,5,"fs",NA,NA,NA
"m84k1",1,36,2,NA,NA,NA,"ms","hb11f",59,2
"x536o",0,25,1,NA,NA,NA,"md","ykeq7",66,8
"doh30",1,22,0,NA,NA,NA,"ms","fb9uj",45,3
"hbpu1",0,36,2,NA,NA,NA,"md","q6n3v",61,7
"jiiou",1,30,1,"id9r2",73,4,"fs",NA,NA,NA
"js6kp",0,43,2,"d5roy",70,6,"fd",NA,NA,NA
"qxsbb",0,40,2,NA,NA,NA,"md","gyo0o",71,2
"o6pew",1,35,1,NA,NA,NA,"ms","ijhhq",59,4
"e5n30",0,32,2,NA,NA,NA,"md","afn6o",61,3
"eglv4",0,21,1,NA,NA,NA,"md","rd9tt",42,3
"cgkn0",1,21,0,NA,NA,NA,"ms","vw1tf",52,3
"bzg7j",1,22,0,NA,NA,NA,"ms","h64mq",42,2
"dlk7k",1,40,0,NA,NA,NA,"ms","p0r9x",63,6
"mvvqp",1,45,3,NA,NA,NA,"ms","s4rmj",71,9
"t4zkq",1,50,2,NA,NA,NA,"ms","dfbht",72,5
"o0xgu",1,30,0,NA,NA,NA,"ms","gescz",51,4
"a79fw",1,39,2,NA,NA,NA,"ms","spy9y",67,3
"ogtrs",1,23,0,NA,NA,NA,"ms","u5eli",45,2
"u0qzr",0,23,0,NA,NA,NA,"md","b0sze",44,2
"m801i",0,40,1,NA,NA,NA,"md","yfaon",70,7
"g2ufx",1,21,0,NA,NA,NA,"ms","g2l8o",46,3
"dby3g",0,34,1,NA,NA,NA,"md","afn6o",61,3
"oam62",1,35,0,NA,NA,NA,"ms","rptvm",70,6
"gwsp4",0,18,0,NA,NA,NA,"md","mi7so",43,3
"gbht3",0,32,1,NA,NA,NA,"md","rz3ar",56,4
"u2lrn",0,44,2,"xwh4v",71,7,"fd",NA,NA,NA
"ogusy",0,40,0,NA,NA,NA,"md","uy3d0",59,5
"ez81e",1,38,2,"jiwri",71,7,"fs",NA,NA,NA
"d2sgc",0,23,0,NA,NA,NA,"md","fvqoo",44,2
"bbn0x",1,49,3,NA,NA,NA,"ms","hsjh7",72,3
"z5qx2",1,28,1,NA,NA,NA,"ms","g8yno",51,3
"qgdln",1,44,2,NA,NA,NA,"ms","guwpw",66,5
"xbjhy",0,39,2,NA,NA,NA,"md","qdgdq",62,6
"eglv4",0,21,1,"dolhe",46,3,"fd",NA,NA,NA
"eej73",1,31,2,NA,NA,NA,"ms","jd17s",67,2
"w1r2v",0,43,2,"yghtg",70,2,"fd",NA,NA,NA
"c8p00",1,27,0,NA,NA,NA,"ms","p0r9x",63,6
"moke8",0,41,1,NA,NA,NA,"md","ywuew",74,8
"a6qob",0,25,0,"lyspj",60,3,"fd",NA,NA,NA
"ze6tu",1,42,1,NA,NA,NA,"ms","k17i5",64,5
"oa995",1,47,2,NA,NA,NA,"ms","n3j33",74,2
"zkndy",1,32,2,"wtdxh",67,4,"fs",NA,NA,NA
"jiw99",0,22,0,NA,NA,NA,"md","zxt98",52,6
"k5es8",0,31,2,"mruwu",56,4,"fd",NA,NA,NA
"qzgzz",0,21,0,"gndql",52,3,"fd",NA,NA,NA
"x7x4v",1,21,0,"o67vw",52,3,"fs",NA,NA,NA
"rvdk0",0,52,2,NA,NA,NA,"md","kinlx",83,3
"rmkgi",1,40,2,NA,NA,NA,"ms","fscx0",59,4
"cikm3",0,18,0,NA,NA,NA,"md","hdtkx",39,3
"cw7v3",0,31,0,NA,NA,NA,"md","z52e2",65,8
"owxek",0,21,0,NA,NA,NA,"md","ifgjt",45,2
"o5o6o",0,21,1,NA,NA,NA,"md","g20me",48,3
"dueeq",1,30,0,NA,NA,NA,"ms","qdgdq",62,6
"xqgun",1,27,1,NA,NA,NA,"ms","akeaq",53,4
"enk96",1,32,1,NA,NA,NA,"ms","jtzhh",54,4
"vnmi9",1,26,0,NA,NA,NA,"ms","z52e2",65,8
"nc790",0,43,3,NA,NA,NA,"md","amylr",70,2
"awgny",1,38,2,NA,NA,NA,"ms","cuiz0",79,6
"gxzvt",1,22,0,NA,NA,NA,"ms","gescz",51,4
"gru56",0,39,3,"yco10",66,5,"fd",NA,NA,NA
"kq0n0",1,39,2,NA,NA,NA,"ms","jd17s",67,2
"h594n",1,29,0,NA,NA,NA,"ms","blu2i",57,5
"cptdm",1,29,0,"azmm3",63,4,"fs",NA,NA,NA
"ek0oa",0,30,0,NA,NA,NA,"md","aq9nj",59,3
"fkdib",0,45,3,NA,NA,NA,"md","u4oyd",80,7
"jvl6q",1,33,2,NA,NA,NA,"ms","r2nph",62,4
"a2onc",0,37,2,NA,NA,NA,"md","qdwnu",66,5
"gzozr",0,25,0,"vnyoe",47,2,"fd",NA,NA,NA
"ei0ds",1,38,1,NA,NA,NA,"ms","w2mff",75,6
"v5u88",0,18,0,"hc036",46,3,"fd",NA,NA,NA
"uelbd",0,19,0,"b2aqk",42,3,"fd",NA,NA,NA
"d7s7a",0,26,1,NA,NA,NA,"md","su6r7",58,4
"osuxv",1,20,0,"o5xf4",43,3,"fs",NA,NA,NA
"nz79w",0,53,2,NA,NA,NA,"md","yre07",80,2
"el7jw",1,34,3,NA,NA,NA,"ms","mnjif",68,4
"h6zib",1,32,0,NA,NA,NA,"ms","fwf87",61,4
"jkadn",1,36,0,NA,NA,NA,"ms","z8365",59,6
"pmfta",0,25,2,NA,NA,NA,"md","ut2pq",52,3
"c2wei",1,39,3,"ge189",62,4,"fs",NA,NA,NA
"lp5h6",0,30,2,"v0s2k",61,4,"fd",NA,NA,NA
"meouz",1,40,0,NA,NA,NA,"ms","y59aq",75,8
"ivz05",0,27,0,NA,NA,NA,"md","r3fkw",57,1
"dsfiu",1,42,2,NA,NA,NA,"ms","jer0u",77,2
"c530a",1,23,1,"i4e4o",49,3,"fs",NA,NA,NA
"z494k",0,21,0,NA,NA,NA,"md","rg6na",44,3
"puigu",0,23,1,NA,NA,NA,"md","fc4qu",44,3
"ew7yz",0,32,1,"p1730",57,3,"fd",NA,NA,NA
"bd7b3",0,30,2,NA,NA,NA,"md","i4yk2",50,3
"y2f56",1,21,0,NA,NA,NA,"ms","w29iy",44,3
"ygfx2",1,32,2,"wgvv3",67,5,"fs",NA,NA,NA
"wylai",0,38,2,NA,NA,NA,"md","n53vg",64,7
"uffj7",0,39,1,"gu34s",75,7,"fd",NA,NA,NA
"qsdz6",0,42,3,"v8caa",78,5,"fd",NA,NA,NA
"cfa43",1,36,1,NA,NA,NA,"ms","zk0kc",68,6
"sy7ib",0,34,0,"jiwri",71,7,"fd",NA,NA,NA
"klfme",1,45,2,"c2amv",72,5,"fs",NA,NA,NA
"x5svm",1,18,0,"kvare",38,2,"fs",NA,NA,NA
"yfo2q",1,43,0,NA,NA,NA,"ms","kao3k",65,2
"zrc7l",0,25,0,NA,NA,NA,"md","g3h25",44,3
"hjv98",1,46,2,"y5svp",69,3,"fs",NA,NA,NA
"l2zzm",0,22,0,NA,NA,NA,"md","r40p7",63,7
"v1mc6",0,17,0,"dsfiu",42,2,"fd",NA,NA,NA
"recjc",0,39,2,NA,NA,NA,"md","wneqi",62,4
"dnozq",1,37,0,NA,NA,NA,"ms","z52e2",65,8
"et1zn",1,30,1,NA,NA,NA,"ms","su6r7",58,4
"mdknt",1,39,2,NA,NA,NA,"ms","guwpw",66,5
"tjuwf",0,31,2,NA,NA,NA,"md","qett5",53,2
"fy1g3",1,18,0,"v5hbn",45,2,"fs",NA,NA,NA
"dqdaj",0,20,0,"mczt5",47,2,"fd",NA,NA,NA
"y2qk0",0,40,2,NA,NA,NA,"md","q6n3v",61,7
"idjv8",0,32,1,NA,NA,NA,"md","xxbgl",57,6
"gy4gs",0,29,0,NA,NA,NA,"md","jtzhh",54,4
"ggwch",1,26,0,NA,NA,NA,"ms","kzrg5",46,4
"p38rm",0,24,0,"k9w4y",76,3,"fd",NA,NA,NA
"t245a",1,20,0,NA,NA,NA,"ms","lsy9d",55,5
"cdmpr",1,33,2,"c2amv",72,5,"fs",NA,NA,NA
"j59w9",0,22,0,"jx3s6",49,2,"fd",NA,NA,NA
"bh1jo",0,20,0,"lk1e6",45,2,"fd",NA,NA,NA
"x7o2f",1,20,0,"idm84",46,2,"fs",NA,NA,NA
"dc5ws",0,23,0,"n1758",47,2,"fd",NA,NA,NA
"vf4kr",0,28,1,NA,NA,NA,"md","kh565",61,4
"wi09j",0,29,1,NA,NA,NA,"md","fscx0",59,4
"qwtol",0,35,2,NA,NA,NA,"md","qdwnu",66,5
"fn8ns",0,30,1,NA,NA,NA,"md","g8yno",51,3
"dnstq",1,31,1,NA,NA,NA,"ms","y1gd6",60,3
"earjp",1,42,0,NA,NA,NA,"ms","murwa",64,4
"ixogf",0,38,2,NA,NA,NA,"md","qdgdq",62,6
"p8ovs",1,36,2,NA,NA,NA,"ms","xxbgl",57,6
"l19gs",0,32,1,"v0s2k",61,4,"fd",NA,NA,NA
"tm76j",1,50,2,NA,NA,NA,"ms","y59aq",75,8
"jxx1e",1,23,0,"ksnzs",45,2,"fs",NA,NA,NA
"l5eid",1,19,0,NA,NA,NA,"ms","kxy3g",45,2
"vw6e0",0,17,0,"vcabt",45,2,"fd",NA,NA,NA
"a6o6n",1,55,1,NA,NA,NA,"ms","s556z",91,2
"qr6sr",0,28,1,NA,NA,NA,"md","l44gb",58,2
"qy117",0,43,2,NA,NA,NA,"md","xet7k",69,6
"pod2b",0,17,0,NA,NA,NA,"md","zdkpt",39,2
"w29iy",0,44,3,NA,NA,NA,"md","hsjh7",72,3
"b5ndb",0,34,2,NA,NA,NA,"md","t391l",62,3
"zlnch",1,22,0,NA,NA,NA,"ms","kzrg5",46,4
"r1ehu",0,33,1,NA,NA,NA,"md","q6n3v",61,7
"jl7re",1,30,0,NA,NA,NA,"ms","pha1c",66,4
"elqr9",0,41,2,NA,NA,NA,"md","khfui",72,6
"qpamg",1,23,0,"o5xf4",43,3,"fs",NA,NA,NA
"lbsic",1,39,1,NA,NA,NA,"ms","dfbht",72,5
"urxj6",1,25,0,NA,NA,NA,"ms","lsy9d",55,5
"un09d",0,28,2,NA,NA,NA,"md","vxw91",51,3
"as1c0",0,18,0,NA,NA,NA,"md","kxy3g",45,2
"z262t",0,20,0,NA,NA,NA,"md","icu7n",56,2
"l19gs",0,32,1,NA,NA,NA,"md","yqmqf",58,4
"z3zdf",1,36,1,NA,NA,NA,"ms","y59aq",75,8
"i6wzg",1,51,1,"qd4a8",76,4,"fs",NA,NA,NA
"mbm05",0,37,2,NA,NA,NA,"md","s4rmj",71,9
"vx5fp",0,28,2,NA,NA,NA,"md","js5cn",51,3
"omqpr",1,31,1,NA,NA,NA,"ms","dbzhs",68,6
"mcr6k",1,43,2,NA,NA,NA,"ms","rot7v",80,8
"u3lik",0,35,1,NA,NA,NA,"md","sbt9w",75,7
"ds3lz",0,50,2,"d5roy",70,6,"fd",NA,NA,NA
"ewy1e",0,19,0,NA,NA,NA,"md","lal2w",37,2
"zb7n2",0,31,0,"i10ko",61,2,"fd",NA,NA,NA
"sqgmx",0,19,1,"vwhj6",41,3,"fd",NA,NA,NA
"usjai",1,38,0,NA,NA,NA,"ms","ikfti",61,5
"q0zwn",1,34,1,"f5hyq",59,3,"fs",NA,NA,NA
"fgxnk",0,23,1,"r6x3g",55,3,"fd",NA,NA,NA
"luz14",0,41,2,NA,NA,NA,"md","n3j33",74,2
"a6qob",0,25,0,NA,NA,NA,"md","n96ta",57,3
"s4oar",1,25,0,NA,NA,NA,"ms","dhogj",49,3
"cri5v",0,38,2,NA,NA,NA,"md","r40p7",63,7
"hio0x",1,29,1,"d2m52",54,3,"fs",NA,NA,NA
"i33wm",0,55,1,NA,NA,NA,"md","ogong",83,5
"bci8k",0,38,1,NA,NA,NA,"md","ywuew",74,8
"whvr0",0,34,2,NA,NA,NA,"md","y59aq",75,8
"g1m5r",1,45,0,"iyud6",65,3,"fs",NA,NA,NA
"qh4a4",1,38,1,"qd4a8",76,4,"fs",NA,NA,NA
"z262t",0,20,0,"olrcv",52,2,"fd",NA,NA,NA
"hdtkx",0,39,3,NA,NA,NA,"md","y1gd6",60,3
"bv7vw",0,34,2,NA,NA,NA,"md","t6y0i",75,2
"bnorj",1,25,0,NA,NA,NA,"ms","fvqoo",44,2
"zoa6z",0,34,2,NA,NA,NA,"md","n1mks",72,7
"zr1ni",1,42,1,NA,NA,NA,"ms","uy3d0",59,5
"ug38r",0,23,1,NA,NA,NA,"md","ywuew",74,8
