"age","male","livestock","agef","livestockf"
36,1,9,NA,NA
46,0,10,79,20
60,0,6,87,60
21,0,NA,71,35
20,0,NA,79,30
30,0,10,84,70
69,0,9,NA,NA
33,0,2,90,12
73,0,14,NA,NA
13,1,NA,68,125
56,0,10,92,75
42,0,6,75,100
30,0,10,NA,NA
59,0,8,NA,NA
42,1,2,78,45
41,0,6,68,125
17,1,NA,79,20
44,1,3,78,45
46,0,12,76,45
63,0,NA,93,70
36,1,5,NA,NA
34,0,4,85,55
34,0,14,84,150
31,0,8,87,60
49,0,6,78,45
51,1,11,90,110
73,0,13,NA,NA
56,1,13,76,45
35,0,2,79,20
50,1,10,80,60
43,1,9,NA,NA
34,1,2,79,30
42,1,5,73,35
45,1,1,79,20
43,0,4,79,20
33,1,8,NA,NA
90,1,12,NA,NA
36,1,6,66,40
54,1,13,84,70
62,1,31,90,110
33,0,8,80,60
22,0,NA,80,60
55,1,1,84,70
35,0,10,75,100
65,1,10,NA,NA
71,0,0,NA,NA
39,0,NA,80,60
35,1,1,85,55
40,1,9,74,30
41,1,3,NA,NA
32,1,NA,73,35
51,1,5,77,35
46,1,16,NA,NA
63,0,10,93,70
77,0,4,NA,NA
33,1,12,NA,NA
79,1,20,NA,NA
44,1,4,74,30
14,1,NA,79,20
53,1,40,NA,NA
38,1,3,78,45
45,1,12,NA,NA
90,1,110,NA,NA
44,0,12,90,12
73,1,35,NA,NA
63,1,25,NA,NA
45,0,10,72,25
61,1,16,92,75
42,0,8,83,20
38,1,10,68,125
55,1,35,85,110
34,0,4,NA,NA
72,1,25,NA,NA
34,1,10,71,35
35,1,13,NA,NA
47,1,38,NA,NA
59,1,14,93,70
41,1,10,90,110
45,0,10,78,45
81,0,1,NA,NA
31,0,14,90,110
11,1,NA,84,70
30,0,NA,79,20
32,1,7,85,55
41,1,18,75,100
36,0,NA,84,150
36,0,12,71,35
39,0,4,85,55
49,0,6,85,110
37,0,24,90,110
30,0,5,NA,NA
33,1,1,90,12
33,0,10,78,45
44,0,10,73,10
50,0,24,79,30
49,1,1,74,30
34,1,4,84,70
63,1,54,NA,NA
32,0,12,73,95
18,0,NA,90,12
45,1,9,83,20
80,1,60,NA,NA
46,0,8,74,30
40,1,15,68,125
13,0,NA,90,110
57,0,6,93,70
35,1,4,87,60
37,0,4,74,30
54,1,6,87,60
27,0,NA,90,110
77,1,35,NA,NA
30,0,4,73,95
39,0,NA,77,35
33,0,12,73,10
35,0,14,90,110
39,0,10,73,10
46,0,14,93,70
76,0,7,NA,NA
46,0,4,75,100
53,1,10,76,45
21,0,NA,66,40
