"id","male","age","wealth","mid","agetodaym","ageatdeathm","fid","agetodayf","ageatdeathf","wealthp"
"k0fjr",1,43.1800003051758,6,NA,NA,NA,NA,NA,NA,NA
"h555j",1,61.7400016784668,4,NA,NA,NA,NA,NA,NA,NA
"jybt4",0,74.3000030517578,1,NA,NA,NA,NA,NA,NA,NA
"tpbxk",1,34.2900009155273,2,"d1g6j",61.1199989318848,NA,"sc4rb",64.5699996948242,NA,3
"f3nj6",0,80.2399978637695,1,NA,NA,NA,NA,NA,NA,NA
"u4jxq",1,42.8600006103516,4,NA,NA,NA,NA,NA,NA,NA
"fw6j7",1,38.0200004577637,6,NA,NA,NA,NA,NA,NA,NA
"am0op",0,27.1000003814697,2,"jazmv",59.4599990844727,NA,"s9q8s",53.1500015258789,NA,2
"ea6ze",1,46.3800010681152,3,"xvlyt",82.4000015258789,NA,"iswud",75.8000030517578,NA,5
"fm4gs",1,26.8899993896484,4,NA,NA,NA,NA,NA,NA,NA
"wogfb",1,52.7999992370605,2,NA,NA,NA,NA,NA,NA,NA
"l72no",1,35.7799987792969,5,NA,NA,NA,NA,NA,NA,NA
"ox1jp",0,62.2099990844727,5,NA,NA,NA,NA,NA,NA,NA
"go4ai",0,24.9400005340576,1,"wgof5",60.0900001525879,NA,"vyc1v",72.9300003051758,NA,4
"n94ys",1,82.25,3,NA,NA,NA,NA,NA,NA,NA
"bscec",0,65.6800003051758,7,NA,NA,NA,NA,NA,NA,NA
"khy0k",1,70.25,4,NA,NA,NA,NA,NA,NA,NA
"xx2s4",1,29.8400001525879,4,"ma2rr",58.6300010681152,NA,"dckmv",58.5999984741211,NA,4
"fy852",0,52.5900001525879,4,NA,NA,NA,NA,NA,NA,NA
"xg98e",1,68.2900009155273,3,NA,NA,NA,NA,NA,NA,NA
"nasmv",1,72.4199981689453,5,NA,NA,NA,NA,NA,NA,NA
"g8dnr",1,45.3899993896484,6,NA,NA,NA,NA,NA,NA,NA
"mn034",1,32.2200012207031,5,NA,NA,NA,NA,NA,NA,NA
"g0vj5",0,42.1699981689453,4,NA,NA,NA,NA,NA,NA,NA
"qv1s0",0,33.75,4,NA,NA,NA,NA,NA,NA,NA
"fx67r",0,36.4099998474121,4,NA,NA,NA,NA,NA,NA,NA
"r1vv5",0,55.310001373291,5,"chi5v",81.620002746582,NA,"rhsxz",75.0699996948242,71,8
"z4s38",0,49.9199981689453,5,NA,NA,NA,NA,NA,NA,NA
"g1ye3",1,32.2200012207031,3,"x2b2i",67.879997253418,NA,"m4w6p",68.1800003051758,NA,6
"vf7ug",1,57.1500015258789,4,NA,NA,NA,NA,NA,NA,NA
"laess",1,66.6500015258789,7,"s2pte",88.6600036621094,NA,"qvdnw",89.9100036621094,86,4
"nkh8r",1,64.2799987792969,3,NA,NA,NA,NA,NA,NA,NA
"argdz",0,45.3899993896484,3,NA,NA,NA,NA,NA,NA,NA
"kjw5s",1,66.0100021362305,6,NA,NA,NA,NA,NA,NA,NA
"n4sti",0,55.7599983215332,5,NA,NA,NA,NA,NA,NA,NA
"d99qg",1,38.7799987792969,5,"z5ewt",61.1300010681152,NA,"svfr8",66.2099990844727,NA,4
"apt05",1,54.0900001525879,5,NA,NA,NA,NA,NA,NA,NA
"e81l4",0,59.6300010681152,3,NA,NA,NA,NA,NA,NA,NA
"nidad",0,41.1800003051758,6,"z50wl",71.3000030517578,NA,"nasmv",72.4199981689453,NA,5
"k8pdy",0,29.7299995422363,3,"y4re7",69.879997253418,NA,"noivv",83.6500015258789,83.4899978637695,5
"e3o6m",1,86.3000030517578,6,NA,NA,NA,NA,NA,NA,NA
"ly4zj",0,24.6700000762939,5,"gw8ie",66.120002746582,NA,"jjbt7",66.6399993896484,NA,5
"sc4rb",1,64.5699996948242,3,NA,NA,NA,NA,NA,NA,NA
"n055w",0,38.9599990844727,4,NA,NA,NA,NA,NA,NA,NA
"p5gtf",0,66.120002746582,7,NA,NA,NA,NA,NA,NA,NA
"khj6z",1,52.6800003051758,4,NA,NA,NA,NA,NA,NA,NA
"dpidb",0,55.5999984741211,7,NA,NA,NA,NA,NA,NA,NA
"kroh5",0,39.3300018310547,3,NA,NA,NA,NA,NA,NA,NA
"u75k2",1,79.6100006103516,4,NA,NA,NA,NA,NA,NA,NA
"a0xci",0,34.3300018310547,6,"cxihd",65.5299987792969,NA,"l65sr",67.7200012207031,NA,6
"eihze",0,26.2600002288818,4,NA,NA,NA,NA,NA,NA,NA
"hfmxa",1,33.4099998474121,3,"qde6h",75.2900009155273,NA,"wu08t",70.7799987792969,42.4599990844727,2
"jzz16",0,64.1500015258789,6,NA,NA,NA,NA,NA,NA,NA
"dxqz3",0,65.870002746582,3,NA,NA,NA,NA,NA,NA,NA
"hxiph",0,57.5499992370605,4,NA,NA,NA,NA,NA,NA,NA
"aj1s5",0,34.1100006103516,4,"lnb1b",66.4700012207031,NA,"ruvt2",63.3400001525879,NA,5
"izm0s",1,67.9599990844727,6,NA,NA,NA,NA,NA,NA,NA
"e67h6",0,67.1999969482422,4,NA,NA,NA,NA,NA,NA,NA
"i2qy8",1,29.1900005340576,5,"lyb0t",52.8199996948242,NA,"b385i",56.4799995422363,NA,4
