"male","age","ed","agem","edm","agef","edf"
1,12,1,31,0,36,0
2,21,0,47,2,NA,NA
1,10,0,41,0,40,4
1,22,8,41,6,50,8
1,27,5,NA,NA,NA,NA
1,20,7,38,0,NA,NA
1,10,3,31,9,NA,NA
1,15,5,37,0,NA,NA
1,7,0,27,1,NA,NA
1,3,0,21,4,27,8
1,19,0,51,0,NA,NA
2,32,7,NA,NA,NA,NA
1,10,0,37,0,NA,NA
1,22,6,52,0,NA,NA
2,4,0,31,5,37,6
1,20,5,40,0,NA,NA
2,15,0,50,3,NA,NA
2,21,5,NA,NA,NA,NA
2,24,1,NA,NA,NA,NA
1,14,NA,NA,NA,NA,NA
2,41,0,NA,NA,NA,NA
1,70,2,NA,NA,NA,NA
1,2,0,19,5,24,4
1,28,3,NA,NA,NA,NA
1,22,12,57,0,NA,NA
2,13,3,34,3,37,8
1,1,0,19,3,28,3
2,14,2,34,0,38,3
1,0,0,17,0,27,8
1,3,0,21,0,NA,NA
1,21,5,41,0,NA,NA
1,4,0,25,5,27,0
1,22,4,45,3,55,4
2,39,0,NA,NA,NA,NA
1,1,0,21,4,27,8
2,14,3,36,0,NA,NA
1,31,6,NA,NA,NA,NA
1,2,0,21,3,27,6
1,29,8,NA,NA,NA,NA
1,16,8,41,0,45,7
1,37,8,NA,NA,NA,NA
2,21,2,NA,NA,NA,NA
1,61,8,NA,NA,NA,NA
2,6,3,49,0,51,5
2,37,8,NA,NA,NA,NA
2,17,4,47,0,NA,NA
1,49,5,NA,NA,NA,NA
1,18,1,55,4,75,5
2,53,0,NA,NA,NA,NA
2,12,0,32,0,33,4
2,12,4,33,0,41,8
2,9,0,27,6,34,6
1,7,0,29,8,NA,NA
2,7,0,41,0,43,0
1,0,NA,36,5,40,3
2,2,0,32,11,33,14
2,3,0,25,4,30,8
1,60,5,NA,NA,NA,NA
2,5,0,25,0,32,0
2,15,4,46,0,57,2
