"id","idf","idm","ed","edf","edm","age","agef","agem","sex"
"e66gn","en685","aijlu",9,9999,10,16.89253936,9999,43,"F"
"vxwkr",NA,"aatg4",10,9999,3,42.05612594,9999,62,"M"
"bks0y","d8pa5","fhurt",10,9999,9999,48.90622861,9999,61,"M"
"jfa4v",NA,"hg3kw",9999,9999,9999,21.15263518,9999,23,"M"
"sv6e0","lvcwe","do2w5",9,9999,9999,34.49691992,9999,9999,"M"
"xq77k",NA,"jp0uc",11,9999,3,28.01916496,9999,52,"F"
"ha99v","vt4wt","wqgbc",9,9999,9999,27.4770705,57,9999,"M"
"lgt22","jcuow","arn3r",9,3,3,25.00752909,70,54,"M"
"iqayz","uhpfy","njev3",9,10,10,18.01505818,50,38,"F"
"ix5eh","oz5zu","y4xc7",9999,11,8,9999,24,20,"F"
"t3bk8","r8ui2","lswwx",11,9999,9999,43.30732375,9999,9999,"M"
"c9axj","hw1o5","o8z7x",11,9999,8,24.22176591,9999,53,"F"
"a2qtw","mp6zg","lswwx",9999,9999,9999,33,9999,9999,"F"
"bwrqh","yf040","urok2",9999,9999,9999,23.67145791,9999,9999,"F"
"zdhdb","c0k98","rn38y",9,10,8,25.5523614,50,46,"M"
"k4dmk","f16hg","oqcz0",9999,9999,9999,35,9999,9999,"F"
"cznm6",NA,"jbbad",9999,9999,9999,27,9999,9999,"M"
"u7cjl","ymvdi",NA,9999,9999,9999,9999,9999,9999,"F"
"do2w5","x3fwf","j2bzi",9999,9999,9999,9999,9999,9999,"F"
"go5jj","y43x0","jgy04",9,10,9999,19.32375086,56,56,"M"
"i1jsf","b8np4","hxyq8",3,9999,9999,64.68172485,9999,9999,"F"
"orr6z","hf5cu","npo2h",11,10,9999,32.21629021,59,9999,"M"
"t141m","atnjx","p65d0",3,9999,9999,69.0403833,9999,9999,"F"
"oz5zu","jsnf1","wyzvw",11,9999,10,23.72347707,9999,49,"M"
"h70yo","c7axj",NA,9999,9999,9999,9999,9999,9999,"M"
"fx0m4","wa4y3","hfpsc",10,9999,9999,47.4661191,9999,9999,"F"
"qcpk2","uk7ot","nfiy3",9999,9999,9999,36,9999,69,"F"
"msx8z","vt4wt","wqgbc",9,9999,9999,16.18617385,57,9999,"F"
"kxd4o","mzxrb","iqho9",3,9999,9999,55.84668036,9999,59,"M"
"ogfpx","igsc5","sffhs",9999,9999,9999,9999,9999,9999,"F"
"umcs7","cv9zm","jkozw",9999,9999,9999,9999,9999,9999,"M"
"vvmve","w8vpn","kdlxg",9999,9999,9999,9999,62,70,"M"
"rk74u","m1c7w","cm7ow",10,9999,9999,43.01984942,9999,9999,"F"
"uhpfy","x7ij2",NA,10,9999,9999,49.68925394,9999,9999,"M"
"sjqb1","xq4s3","c085w",11,3,9999,26.81998631,66,51,"M"
"kn2ki","mi0uj","qkblg",9999,9999,8,16,9999,58,"F"
"kjd2t","q0124","cwqjd",11,9999,9999,68.29842574,9999,9999,"F"
"srgb0","mammn","e6jc4",10,9999,9999,53.14168378,9999,9999,"M"
"ncdzd",NA,"arn3r",4,9999,3,32.35318275,9999,54,"M"
"u0o3x","f16hg","oqcz0",10,9999,9999,41.29226557,9999,9999,"F"
"a2kda","gptwx","seq1l",9,10,9999,21.10061602,53,45,"M"
"hqoqg","cpizp","gjx1s",10,3,9999,44.38056126,78,9999,"M"
"pxjpl","ggbcz","wgmdt",6,10,3,19,46,47,"M"
"s9rzb","yex4m","apx4n",9,9999,10,16.31485284,29,40,"F"
"thoem","klcqp","qvgrk",9999,9999,9999,9999,9999,9999,"M"
"t1ady","lcagy","bm2ah",9,9999,3,34.55715264,9999,69,"M"
"ji9zk","gsqqi","kbrx7",9999,9999,9999,9999,9999,9999,"F"
"rjy5r","labog","f9ubm",9,9999,9999,17.34428474,31,34,"F"
"hg3kw","opg10","jpcf2",9999,9999,9999,23,9999,9999,"F"
"cpizp","jva7n","rl7i3",3,9999,9999,77.5797399,9999,9999,"M"
"dwrcg","mzxrb","iqho9",10,9999,9999,38.05065024,9999,59,"F"
"bl8i0","c7stz","ajfaf",9999,9999,9999,9999,9999,9999,"F"
"dvmfw","wbjdd","ji9zk",9,9999,9999,28.79397673,9999,9999,"M"
"guhrb","ghps3","r7e4y",11,10,10,18.84736482,52,49,"F"
"ac9gc",NA,"ji9zk",11,9999,9999,34.38466804,9999,9999,"F"
"k1fp8","pux44","fz9ta",9,11,9999,21.29226557,52,43,"F"
"ne5lm","m98vk","tskce",9,10,10,9999,47,48,"F"
"c7axj","f1fif","pb204",9999,9999,9999,9999,9999,9999,"M"
"aiqbz","q076e","qoodv",9999,9,11,9999,21,27,"M"
"j236p","pkbz2","u9wi9",10,9999,9999,41.10609172,78,70,"M"
"dlnrc","yrrk3","szaip",11,8,10,28.63791923,62,58,"F"
"evfi9","s9nce","tq827",6,9999,10,16.19712526,9999,37,"M"
"wkja4","lcoaw","cbx91",11,10,10,25.908282,51,48,"F"
"c25t2","b8np4","hxyq8",10,9999,9999,50.45585216,9999,9999,"F"
