"id","male","age","rs","mid","agem","rsm","fid","agef","rsf"
"i5myz",1,72,2,"yuw8b",NA,7,"na4vv",NA,7
"lelo4",1,NA,3,"qx4yu",78,4,"p07sz",NA,4
"ciuy0",1,NA,1,"nfy6b",46,1,"w2guy",50,1
"k0am6",1,47.55920602,3,"flphd",59,3,"albtf",NA,3
"ub6c8",1,NA,0,"usg2k",38,3,"vw4j6",45,3
"xa5q0",0,15.8329911,0,"rlk6c",38,7,"inreo",50,7
"el02u",0,16.99931554,0,"ujiv0",51,6,"voill",51,6
"k4pvj",1,18.68856947,0,"x6zyr",40,3,"tczd1",49,3
"ccss0",0,NA,3,"fq6ps",NA,3,"kzh4n",NA,3
"jl8x2",0,33.21013005,0,"lg5wj",58,6,"b01r1",62,6
"o664x",0,20,0,"jj7rw",50,10,"nxtt2",NA,10
"b01r1",1,62.04791239,6,"vteoy",NA,2,"f0pn5",NA,2
"ypk85",0,36.42162902,0,"h4xmj",69,3,"yzo30",NA,2
"apye9",1,NA,1,"s7rvd",NA,2,"hdsa9",NA,2
"reob5",1,21.2073922,1,"i4w9w",34,6,NA,NA,NA
"egkjg",1,26.42847365,2,"tc426",NA,6,"kjezt",59,6
"cw6c0",1,29,4,"h95an",NA,4,NA,NA,NA
"skm6j",1,16.78028747,0,"k4m8q",40,2,NA,NA,NA
"a3zuh",1,NA,0,"p3vfn",NA,3,"tlxyn",NA,3
"kooye",0,19.35934292,0,"ujiv0",51,6,"voill",51,6
"xkg81",0,48,0,"r2lf5",NA,2,"mp7qj",NA,2
"nvdya",0,NA,1,"yu2wj",NA,3,"qbvw0",NA,3
"njnr3",1,38.51608487,2,"vzh2b",NA,1,NA,NA,NA
"lg5wj",0,58.36550308,6,"yuw8b",NA,7,"na4vv",NA,7
"ibb41",0,38.13552361,1,"k35lj",NA,1,NA,NA,NA
"hjui4",1,75.20602327,0,"nwz8r",NA,4,"r8sxb",NA,4
"j69dw",1,67,3,NA,NA,NA,"w874n",NA,4
"gmr90",0,20.10403833,0,"sl3ai",44,4,"fo607",50,4
"og7jb",0,NA,0,"mawzw",52,4,NA,NA,NA
"n331j",0,46.17659138,6,"dit6f",NA,4,"ot6j1",NA,4
"zb97o",1,21.58247775,0,"n331j",46,6,"hgh53",50,6
"n2co8",0,22.40109514,0,"oalze",56,4,"vn4yn",NA,4
"rphvh",1,42.86105407,3,"popci",75,8,"vibg0",NA,8
"u4g7c",1,50.19301848,3,"knxfa",NA,1,"quiui",NA,2
"xeyxa",1,35.45516769,1,"lg5wj",58,6,"b01r1",62,6
"ja675",1,36,2,"og28y",52,2,NA,NA,NA
"z2jx9",0,NA,0,"l43pw",32,2,"a4q1a",36,2
"jq77c",0,NA,2,"mfmrd",51,4,"d26vi",64,5
"wdsd6",1,25,0,"m2j45",52,4,"oaxqd",50,4
"zw9rj",1,NA,3,"lf4bv",NA,3,"uww65",NA,3
"ktun4",0,NA,3,"pfpja",NA,2,"lu0vm",NA,2
"usg2k",0,37.77686516,3,"lfv5d",67,9,"uoxxy",NA,11
"ti961",1,57.48939083,0,"yj19e",NA,1,NA,NA,NA
"jel8y",0,70,6,"tv6pa",NA,3,"pw3wc",NA,3
"lhapd",1,52.36413415,5,"popci",75,8,"vibg0",NA,8
"g7afl",1,36.42162902,0,"h4xmj",69,3,"yzo30",NA,2
"rlk6c",0,38.39288159,7,"tl23p",67,3,"leps1",NA,3
"xcuzp",0,51.97809719,4,NA,NA,NA,"ibag8",NA,3
"jvw70",0,35.96440794,1,NA,NA,NA,"d26vi",64,5
"bbode",0,NA,2,"nfgjg",NA,2,"cgtjn",NA,2
"dit6f",0,NA,4,"mn1ak",NA,5,"l7cef",NA,5
"i0e5o",1,15.70978782,0,"x6zyr",40,3,"tczd1",49,3
"md3l6",0,23.71252567,2,"dnkzd",48,6,"m5p9u",42,6
"bw55a",1,NA,3,"jd0g1",NA,5,"uoxxy",NA,11
"urfna",0,29,4,"fsq4u",50,1,"ycw0c",70,1
"i6his",0,17.34428474,0,"i4w9w",34,6,"ff75y",31,1
"p07sz",1,NA,4,"lf4bv",NA,3,"uww65",NA,3
"z4pux",1,NA,4,"p6hgw",NA,3,"visxp",NA,3
"xc0a2",1,52,3,"nwz8r",NA,4,"r8sxb",NA,4
"lgj2f",0,16.44626968,0,"tfnz1",45,8,"q6urs",45,6
"tl9pa",1,49.05407255,2,"jel8y",70,6,"w1mcu",78,6
"nzzg0",1,19.85489391,0,"j8610",NA,5,"v1zp5",49,5
"oxadt",0,42.5982204,3,"qx4yu",78,4,"p07sz",NA,4
"dd5xc",1,NA,3,"pfpja",NA,2,"lu0vm",NA,2
"dth9g",0,31.42778919,1,"flcy5",58,3,"i8cik",NA,3
"hmsv8",0,NA,0,"lwbfz",70,4,"t03da",62,4
"u2ak3",0,18.84736482,0,"cgunn",49,5,"lhapd",52,5
"xw3c1",1,15.79739904,0,"urfna",29,4,"fs22r",30,4
"vi5kn",1,45.48665298,1,"er9gd",74,3,"f2fh3",73,3
"f5s1i",1,19,0,"pxs9i",41,2,"i4pc3",39,2
"em5pk",1,41.5633128,2,"olqm4",59,1,NA,NA,NA
"cwvsi",0,23,0,"hjzvw",NA,4,"alscy",NA,4
"z0q29",1,32.21629021,1,"tc426",NA,6,"kjezt",59,6
"hrj8s",1,32.35318275,0,"twp17",54,5,NA,NA,NA
"w8svz",1,41.10609172,0,"jel8y",70,6,"w1mcu",78,6
"c8r56",0,18.83915127,0,"x0ey8",37,2,"l8i1t",44,2
"qtuwq",0,NA,3,NA,NA,NA,"w874n",NA,4
"pmry0",0,21.27857632,0,"ytk6p",40,8,"nt4y2",49,8
"so4tc",0,NA,1,"mcq2v",56,7,"es3wc",NA,2
"wdqbt",0,58,3,"njz2j",NA,1,"s17ug",NA,1
"svf0l",0,61.99863107,9,"qtuwq",NA,3,"vazz3",NA,3
"r48rg",1,56.93086927,0,"qtuwq",NA,3,"vazz3",NA,3
"k3mc6",1,17,0,"kyz6p",48,1,"b2m7n",NA,1
"lapuk",0,16,0,"wdqbt",58,3,"lkyco",NA,3
