"id","sex","age","height","fid","mid"
"s0bh0",1,"74.0",146.6,"wah15","sqj45"
"gixg4",2,"38.8",NA,"ne8oj","o4evo"
"tphx1",2,"27.8",141,"k55q8","trbtq"
"qd02a",1,"56.3",146.2,"elhem","xaqpw"
"ozjo8",1,"27.5",154.8,"jxb70","dadmr"
"lonph",2,"23.9",NA,"txqrc","q9iym"
"tmzlp",1,"26.3",159.8,"pkab9","y9rss"
"u0sn2",1,"18.4",162.1,"fr92n","sfi3h"
"sfi3h",2,"36.7",141.4,"pop14","syxwf"
"qsxnr",1,"20.0",158.1,"bdwb9","wackq"
"np9s9",1,"28.3",NA,"ucz6q","fd3fw"
"iz0fl",1,"55.1",148.4,"ybabm","e51cc"
"edyqd",1,"59.4",150.5,"xhg6j","e0b1j"
"f3und",1,"40.0",161.8,"ov7il","thfh2"
"fd3fw",2,"48.6",150,"ssrlg","f9mmx"
"c0hun",2,"24.4",NA,"sra8x","zlpcl"
"rzhi3",2,"33.8",137.1,"nynn6","ndejr"
"hep0g",1,"60.8",149.5,"uil3p","qf7bq"
"ssrlg",1,"85.0",NA,NA,NA
"tpofb",2,"18.8",147.7,"mhb52","vr5h2"
"lfu36",2,"73.3",134.4,NA,NA
"es0dj",1,"29.7",159.4,"may3q","q2d4z"
"ml4jj",1,"36.9",152.1,"mr308","swp4m"
"k5xuu",2,"36.0",143.6,"k55q8","trbtq"
"f0mm5",2,"62.0",145,"ssrlg","f9mmx"
"nqp72",2,"22.9",141.1,"tiu4d","tjarg"
"b42el",2,"25.3",139.7,"y2cdx","qfq4s"
"jw20p",2,"23.8",NA,"mhb52","vr5h2"
"on0x3",2,"62.1",137.2,"vl4e9","ce3c2"
"b743r",1,"46.7",156,"ybabm","e51cc"
"lm31q",1,"21.2",162.9,"sn0wf","ki8sj"
"wackq",2,"50.7",147.6,"higde","dutee"
"hnl0a",2,"22.5",144.9,"nynn6","ndejr"
"l63db",1,"70.3",144.8,"wq6qn","juvx8"
"bvpsy",2,"54.1",144.4,"a54s6","erfcv"
"vo9am",1,"20.9",157.3,"si54n","vumor"
"mhb52",1,"55.2",155,"xhg6j","e0b1j"
"mr308",1,"69.9",165.8,"ssrlg","f9mmx"
"iormr",2,"22.9",146.6,"may3q","q2d4z"
"agjlu",1,"26.2",156.1,"may3q","q2d4z"
"gne5m",1,"24.2",154.6,"dpays","er9n2"
"s8f1a",2,"29.3",134.2,NA,NA
"ju3xa",1,"20.8",150.2,"w689q","ou18a"
"yhswk",2,"41.9",150.8,"ov7il","thfh2"
"zivz2",1,"19.9",NA,"pkab9","y9rss"
"ou18a",2,"39.9",143.1,"bt2lk","jkkic"
"c1aas",1,"26.2",NA,"pq38j","i09b8"
"l2vt5",2,"54.6",132.4,"wq6qn","juvx8"
"pp3ug",1,"61.0",149.5,"akuiv","m3frx"
"j0zlt",1,"42.7",155.2,"k55q8","trbtq"
"cfzx8",1,"22.3",NA,"w689q","ou18a"
"ozb5g",1,"28.1",146.2,"yv8lp","khsu3"
"sn0wf",1,"",NA,"higde","dutee"
"rbx4p",1,"41.8",148.2,"ol9kl","tzy5r"
"y9rss",2,"53.2",147.7,"ca3ci","mp19o"
"s7nc3",2,"31.9",144.7,"nynn6","ndejr"
"hxstw",1,"29.7",NA,"y2cdx","qfq4s"
