"RP_INC_LOG","HP_INC_LOG","CF_INC_LOG","RF_AGE","RF_AGE_DEATH","RF_YRS_SINCE_DEATH","RM_AGE","RM_AGE_DEATH","RM_YRS_SINCE_DEATH","HF_AGE","HF_AGE_DEATH","HF_YRS_SINCE_DEATH","HM_AGE","HM_AGE_DEATH","HM_YRS_SINCE_DEATH","HUS_AGE","RESP_AGE"
9.39266192877014,NA,11.1704351560235,70,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,38,34
NA,NA,11.3144745262464,NA,80,5,65,NA,NA,NA,75,13,NA,60,11,40,50
10.6919449129004,10.8197782844103,12.1007121298723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
8.51719319141624,9.21034037197618,11.1844213979982,75,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
11.3385720778255,NA,NA,50,NA,NA,NA,34,5,NA,NA,NA,NA,NA,NA,NA,19
NA,NA,NA,NA,65,4,NA,55,4,NA,60,8,62,NA,NA,48,38
11.3850920934603,NA,11.1844213979982,70,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
9.90348755253613,11.0020998412042,10.5966347330961,NA,55,30,75,NA,NA,NA,NA,43,NA,NA,43,62,56
12.9831013100708,11.2695792063385,12.1007121298723,80,NA,NA,70,NA,NA,70,NA,NA,65,NA,NA,NA,32
10.0858091093301,10.4912742174382,9.21034037197618,NA,70,28,85,NA,NA,90,NA,NA,75,NA,NA,54,47
11.5424842672118,11.47210347045,12.7938593104323,NA,76,3,70,NA,NA,75,NA,NA,60,NA,NA,45,37
10.0858091093301,9.90348755253613,12.7938593104323,NA,70,15,NA,65,13,NA,85,10,NA,50,30,65,52
11.1844213979982,9.90348755253613,9.90348755253613,NA,80,7,75,NA,NA,NA,110,30,NA,80,28,62,53
12.0668105781967,NA,9.61580548008435,NA,72,14,80,NA,NA,NA,50,50,80,NA,NA,70,47
11.6172854802945,10.8197782844103,11.0020998412042,50,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
10.3734911817819,10.3089526606443,10.5966347330961,NA,70,30,NA,30,55,NA,90,30,NA,40,50,72,60
10.77895628989,NA,11.6952470217642,55,NA,NA,45,NA,NA,85,NA,NA,70,NA,NA,26,22
NA,NA,11.0020998412042,NA,57,20,55,NA,NA,NA,70,22,NA,62,19,37,29
NA,10.5186731916264,11.5333749418376,NA,70,16,NA,20,50,NA,NA,NA,NA,NA,NA,NA,47
12.4684369099977,12.7938593104323,12.3371009079366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
10.6501755000241,9.91591007253469,NA,75,NA,NA,65,NA,NA,55,NA,NA,50,NA,NA,32,27
