"id","male","age","partners","livestock","land","RS","fid","agef","partnersf","livestockf","landf","RSf","has_parent_by"
"pw5pb",1,43,NA,12,7,6,NA,NA,NA,NA,NA,NA,FALSE
"a75am",1,38,NA,6,3,7,"ntlb9",73,0,35,20,22,FALSE
"lj507",1,33,NA,15,11,5,"lnlna",75,3,100,50,17,FALSE
"gpfd0",1,36,1,5,2,5,"zxfs0",90,1,12,20,23,FALSE
"bxg6v",0,53,NA,2,8,7,"mdy6x",85,3,110,100,32,FALSE
"dvmj7",1,47,NA,4,5,6,"sigh5",85,0,55,70,21,FALSE
"bsdoz",1,35,NA,12,12,8,NA,NA,NA,NA,NA,NA,FALSE
"yr6g9",0,57,0,6,19,7,NA,NA,NA,NA,NA,NA,FALSE
"nzv62",1,93,2,70,150,25,NA,NA,NA,NA,NA,NA,TRUE
"qbo30",1,13,NA,NA,NA,NA,"heo0y",68,3,125,160,26,FALSE
"icapa",1,64,NA,46,40,3,"fiaob",93,2,70,150,25,FALSE
"z0eux",1,52,1,20,17,9,"hi02h",84,4,150,300,41,FALSE
