"id","sex","age","weight","fid","mid"
"hz7vg",2,"43.0",66.9,"kt74u","utzss"
"hfmog",1,"76.3",70.6,"q5z5u","g4shu"
"pg0es",1,"22.3",NA,"fvg8x","ddwuu"
"kj128",1,"51.7",65,"an79l","h5fzz"
"e0yc1",1,"18.4",52.5,"y4h1b","d8ijc"
"r1x4q",2,"26.1",59.1,"ss6ym","vcf74"
"qdgnm",1,"74.6",73.7,"vws0e","pgljz"
"d77do",2,"26.0",61.9,NA,NA
"jy6dv",1,"51.3",54.4,"s93mt","lij4p"
"t5r39",2,"19.6",49.5,"joe76","r7qjl"
"t9t90",1,"24.3",53.5,"d2h54","g4zq4"
"il4pe",2,"24.2",61,NA,NA
"d8ijc",2,"57.1",54.9,"d3bap","lvgxa"
"n7lrk",1,"21.7",NA,"ahssb","vmb1n"
"cmiq6",1,"80.7",53.5,"q5z5u","g4shu"
"lvxsm",2,"98.7",NA,"cu7z9","o262m"
"ktmr6",1,"78.1",48.3,"zv3oe","vdf6j"
"xi57y",2,"50.5",57,"wmlkr","s15ff"
"xp9jd",2,"23.1",NA,"pbdiw","afy2x"
"xs79l",2,"22.5",60.1,"u6r7b","u8y2s"
"djhgs",1,"33.5",NA,"wobat","rfczg"
"c5tv4",2,"43.4",74,"hfmog","rh66u"
"vctqo",2,"58.1",52.5,"an79l","h5fzz"
"me9a9",2,"41.1",62.3,NA,NA
"te5mk",2,"49.2",43.3,"an79l","h5fzz"
"t69zd",2,"48.6",46.8,"ooh1d","dtv3m"
"c2hy0",2,"59.4",52.8,"fjrkq","hb7kw"
"sfncs",2,"22.3",NA,"mdaw8","g226u"
"pbp1o",1,"29.7",NA,"o0gar","xi57y"
"wobat",1,"61.3",75.8,"na778","hne74"
"i2azc",2,"23.8",NA,"sheyu","fx08j"
"fd5dm",2,"19.8",41.4,"m6ym5","e16q7"
"enfvj",1,"24.4",74.1,NA,NA
"wwdgb",2,"42.2",70.9,"km2rs","e4fbp"
"j2z6s",2,"29.3",49.8,NA,NA
"i3hmr",2,"56.4",54.4,"dxvjr","bbiia"
"zeu4i",2,"56.9",62.3,"vc15b","i4tjw"
"g66nk",2,"26.4",48.8,"vfo5y","njgkg"
"zrtmp",2,"48.2",73.8,"ajzmk","j9204"
"n8dz0",1,"50.5",NA,"tv303","lwugc"
"kt74u",1,"68.6",56.8,"dxvjr","bbiia"
"rj3z3",1,"24.4",NA,"jy6dv","xojwc"
