"id","male","age","ed","idf","agef","edf","code","idm","agem","edm"
"r3z4g",1,23,12,NA,NA,NA,"ms","eoiq5",45,0
"hoexq",0,22,0,NA,NA,NA,"md","xo1dk",42,0
"wfr0p",0,17,11,NA,NA,NA,"md","yiw3t",34,0
"l23dv",0,25,16,NA,NA,NA,"md","esqmi",44,0
"fiuxj",0,38,6,NA,NA,NA,"md","c1q2w",64,2
"hvn4s",1,21,3,"s2xfn",51,0,"fs",NA,NA,NA
"p21b6",1,28,12,"yif2y",53,0,"fs",NA,NA,NA
"g6389",1,31,9,NA,NA,NA,"ms","e5j0g",70,0
"r8wt5",1,18,8,NA,NA,NA,"ms","irm8i",40,9
"xcths",0,26,15,NA,NA,NA,"md","rsjod",52,6
"odpnp",1,29,6,NA,NA,NA,"ms","m695c",48,0
"m9hyu",1,45,9,NA,NA,NA,"ms","pnf5r",66,0
"i0frw",1,17,12,"hhkl7",42,12,"fs",NA,NA,NA
"xoxct",0,40,0,NA,NA,NA,"md","vwxsy",61,0
"uou8t",1,38,0,NA,NA,NA,"ms","ji6gp",55,0
"egn8b",0,35,7,NA,NA,NA,"md","tyj60",77,0
"bnwa0",1,18,12,NA,NA,NA,"ms","v4fb3",38,5
"c5eul",0,33,12,NA,NA,NA,"md","jxhqi",65,0
"w0y1e",0,46,16,NA,NA,NA,"md","rp5vu",83,0
"x99k1",1,21,6,NA,NA,NA,"ms","dkzzw",42,0
"xc76u",0,17,6,"rfbib",41,6,"fd",NA,NA,NA
"m2aut",0,43,0,NA,NA,NA,"md","p4rng",60,0
"o3jec",1,23,12,NA,NA,NA,"ms","bgxto",42,0
"jipts",0,34,0,NA,NA,NA,"md","ez6rw",66,0
"zsnty",1,46,0,NA,NA,NA,"ms","ez6rw",66,0
"mkde0",0,17,6,NA,NA,NA,"md","ksyel",34,0
"sqkq5",0,29,12,"w39w2",60,9,"fd",NA,NA,NA
"f2xpk",1,47,9,NA,NA,NA,"ms","lbyab",66,0
"j077a",0,32,9,NA,NA,NA,"md","u5lcy",58,0
"g29n5",1,25,6,NA,NA,NA,"ms","pg902",51,0
"ekh3y",0,35,6,"ka6b5",73,0,"fd",NA,NA,NA
"fiuxj",0,38,6,"v6v0o",75,0,"fd",NA,NA,NA
"wbwif",1,22,6,"olivu",56,0,"fs",NA,NA,NA
"dz8r8",0,34,6,"x9rqq",63,6,"fd",NA,NA,NA
"dzg1q",0,18,11,"z7qiz",41,0,"fd",NA,NA,NA
"pyb8u",1,28,5,NA,NA,NA,"ms","x0jgd",59,0
"lcip5",0,31,9,"m9uvu",56,0,"fd",NA,NA,NA
"roc73",0,40,0,NA,NA,NA,"md","pf36b",68,0
"rsjod",0,52,6,NA,NA,NA,"md","gvexz",79,0
"ubia3",1,39,6,NA,NA,NA,"ms","p4rng",60,0
"j11gs",1,27,6,NA,NA,NA,"ms","m695c",48,0
"y36a5",0,17,9,NA,NA,NA,"md","s1ud0",38,0
"v967i",1,21,6,NA,NA,NA,"ms","dkzzw",42,0
"j8l98",1,28,4,"mihe1",57,0,"fs",NA,NA,NA
"yvcs1",1,33,6,NA,NA,NA,"ms","pnf5r",66,0
"ymf7a",1,25,12,"cddqt",43,0,"fs",NA,NA,NA
"q04dx",1,39,12,NA,NA,NA,"ms","tyj60",77,0
"zkrc2",1,25,6,NA,NA,NA,"ms","ez092",52,0
"p5a67",0,32,6,NA,NA,NA,"md","qgg2k",62,0
"i2a2c",0,37,0,"x9rqq",63,6,"fd",NA,NA,NA
"lwxj5",0,48,0,"ibf39",71,0,"fd",NA,NA,NA
"yukvq",1,38,0,NA,NA,NA,"ms","iz5py",79,0
"nh10j",1,27,12,"buqvq",51,0,"fs",NA,NA,NA
"ot1x6",1,26,6,"fk962",55,6,"fs",NA,NA,NA
"dzchy",1,20,6,NA,NA,NA,"ms","set6y",47,0
"id24p",1,39,0,NA,NA,NA,"ms","hniud",65,0
"flvph",1,39,9,NA,NA,NA,"ms","u5lcy",58,0
"j8l98",1,28,4,NA,NA,NA,"ms","idjmh",51,3
"kg44t",1,38,9,"ev6ni",71,0,"fs",NA,NA,NA
"o9mbb",0,17,9,NA,NA,NA,"md","iqb45",42,0
"hx612",1,27,6,"hk4ni",71,0,"fs",NA,NA,NA
"qnbbq",1,24,9,"v0hrc",52,0,"fs",NA,NA,NA
"qlqmd",0,20,13,NA,NA,NA,"md","y5ycg",45,12
"jlq0t",1,21,6,NA,NA,NA,"ms","ejodp",68,0
