"mainsub","relathh","male","age","hhgardsize","agem","gardsizem"
1,1,1,64,3.5,NA,NA
1,1,2,23,2,49,2
1,5,2,3,1,24,1
1,2,2,23,2,NA,NA
1,5,2,0,1,16,1
1,1,1,30,2,NA,NA
1,18,1,17,3,NA,NA
1,34,2,8,3,41,3
1,5,2,12,2,33,2
1,2,2,19,2,25,NA
1,6,1,5,0.5,36,0.5
1,1,2,21,1,NA,NA
1,1,1,61,6.5,NA,NA
1,5,2,8,2,35,2
1,2,2,23,2,NA,NA
5,6,1,16,1,37,1
6,2,2,31,NA,NA,NA
1,17,2,11,2,17,1
1,6,1,12,6,44,6
1,6,1,1,2,20,2
1,6,1,14,4,48,4
7,1,2,34,NA,NA,NA
1,2,2,32,3,-2,5
1,6,1,10,2,43,2
1,1,1,30,3,NA,NA
1,5,2,3,5,31,5
1,6,1,19,2,51,2
1,5,2,5,2,31,2
1,2,2,25,5.5,NA,NA
1,5,2,5,2,27,2
1,5,2,7,2,27,2
1,6,1,9,1.5,37,1.5
1,6,1,5,1,23,1
1,6,1,21,4.5,63,4.5
1,1,1,29,2,NA,NA
1,6,1,10,1.5,NA,NA
1,1,1,70,5,NA,NA
1,5,2,3,2,29,2
1,1,1,47,3,NA,NA
1,1,2,49,6,NA,NA
1,1,1,27,2.5,NA,NA
1,6,1,5,3,42,3
1,1,1,41,3.5,NA,NA
1,6,1,10,3,55,3
1,5,2,0,2.5,46,2.5
1,6,1,2,3,25,3
1,6,1,10,1.5,28,1.5
1,5,2,2,1,35,1
1,6,1,7,2,22,2
1,5,2,19,1,51,1
1,5,2,5,4,36,4
1,5,2,7,2,25,2
1,5,2,6,2.5,29,2.5
1,5,2,29,1,55,1
3,1,1,25,NA,NA,NA
1,35,1,13,2,37,2
1,2,2,26,1,NA,NA
1,34,2,14,4,38,4
1,6,1,15,2,36,2
1,2,2,60,6,NA,NA
1,6,1,10,2,27,2
1,6,1,20,2,48,2
1,5,2,7,1,24,1
4,1,2,25,NA,NA,NA
1,1,1,28,1.5,NA,NA
1,1,2,57,4,NA,NA
1,10,1,10,1,NA,NA
1,5,2,1,2,30,2
1,6,1,4,2,25,2
1,1,1,41,2,NA,NA
